schemeBy,schemeLocation,foundedBy,departmentName,Beneficiary,schemeObjective,schemeName,description,tags
Central,National,Ministry of Social Justice,Higher and Technical Education Department,Individual,To provide financial support to eligible students for pursuing higher studies,Chief Minister SC Education Grant,This scheme aims to To provide financial support to eligible students for pursuing higher studies for sc by implementing the education grant. It provides support and benefits to eligible beneficiaries in line with the goal of To provide financial support to eligible students for pursuing higher studies.,"SC, Student, Scholarship"
Municipal,"Kolkata, West Bengal",Municipal Corporation,Higher and Technical Education Department,Individual,To provide financial support to eligible students for pursuing higher studies,Pradhan Mantri Girl Merit Scholarship,This scheme aims to To provide financial support to eligible students for pursuing higher studies for girl by implementing the merit scholarship. It provides support and benefits to eligible beneficiaries in line with the goal of To provide financial support to eligible students for pursuing higher studies.,"Girl, Student, Scholarship, Poor"
District,"Chennai, Tamil Nadu",District Council,Education Department,Individual,To assist students from disadvantaged backgrounds in accessing quality education,Central Meritorious Merit Scholarship,This scheme aims to To assist students from disadvantaged backgrounds in accessing quality education for meritorious by implementing the merit scholarship. It provides support and benefits to eligible beneficiaries in line with the goal of To assist students from disadvantaged backgrounds in accessing quality education.,"Merit, Student, Scholarship, Urban"
State,Karnataka,State Government of Karnataka,Higher and Technical Education Department,Individual,To assist students from disadvantaged backgrounds in accessing quality education,Pradhan Mantri SC Student Excellence Award,This scheme aims to To assist students from disadvantaged backgrounds in accessing quality education for sc by implementing the student excellence award. It provides support and benefits to eligible beneficiaries in line with the goal of To assist students from disadvantaged backgrounds in accessing quality education.,"SC, Student, Scholarship, Poor"
Central,National,Ministry of Agriculture,Higher and Technical Education Department,Individual,To assist students from disadvantaged backgrounds in accessing quality education,State Disabled Merit Scholarship,This scheme aims to To assist students from disadvantaged backgrounds in accessing quality education for disabled by implementing the merit scholarship. It provides support and benefits to eligible beneficiaries in line with the goal of To assist students from disadvantaged backgrounds in accessing quality education.,"Disabled, Student, Scholarship, Poor"
State,Karnataka,State Government of Karnataka,Education Department,Individual,To encourage meritorious students to continue their education,Central Economically Backward Pre-Matric Scholarship,This scheme aims to To encourage meritorious students to continue their education for economically backward by implementing the pre-matric scholarship. It provides support and benefits to eligible beneficiaries in line with the goal of To encourage meritorious students to continue their education.,"Economically Backward, Student, Scholarship"
Central,National,Ministry of Health and Family Welfare,Higher and Technical Education Department,Individual,To encourage meritorious students to continue their education,Chief Minister SC Pre-Matric Scholarship,This scheme aims to To encourage meritorious students to continue their education for sc by implementing the pre-matric scholarship. It provides support and benefits to eligible beneficiaries in line with the goal of To encourage meritorious students to continue their education.,"SC, Student, Scholarship, Poor"
Central,National,Ministry of Social Justice,Education Department,Individual,To assist students from disadvantaged backgrounds in accessing quality education,Central Economically Backward Pre-Matric Scholarship (2),This scheme aims to To assist students from disadvantaged backgrounds in accessing quality education for economically backward by implementing the pre-matric scholarship. It provides support and benefits to eligible beneficiaries in line with the goal of To assist students from disadvantaged backgrounds in accessing quality education.,"Economically Backward, Student, Scholarship"
Central,National,Ministry of Rural Development,Education Department,Individual,To assist students from disadvantaged backgrounds in accessing quality education,State Meritorious Higher Education Fellowship,This scheme aims to To assist students from disadvantaged backgrounds in accessing quality education for meritorious by implementing the higher education fellowship. It provides support and benefits to eligible beneficiaries in line with the goal of To assist students from disadvantaged backgrounds in accessing quality education.,"Merit, Student, Scholarship, Poor"
Central,National,Ministry of Agriculture,Higher and Technical Education Department,Individual,To provide financial support to eligible students for pursuing higher studies,State Minority Post-Matric Scholarship,This scheme aims to To provide financial support to eligible students for pursuing higher studies for minority by implementing the post-matric scholarship. It provides support and benefits to eligible beneficiaries in line with the goal of To provide financial support to eligible students for pursuing higher studies.,"Minority, Student, Scholarship, Urban"
State,Karnataka,State Government of Karnataka,Higher and Technical Education Department,Individual,To provide financial support to eligible students for pursuing higher studies,National Meritorious Student Excellence Award (2),This scheme aims to To provide financial support to eligible students for pursuing higher studies for meritorious by implementing the student excellence award. It provides support and benefits to eligible beneficiaries in line with the goal of To provide financial support to eligible students for pursuing higher studies.,"Merit, Student, Scholarship"
Municipal,"Pune, Maharashtra",Municipal Corporation,Education Department,Individual,To provide financial support to eligible students for pursuing higher studies,State OBC Education Grant,This scheme aims to To provide financial support to eligible students for pursuing higher studies for obc by implementing the education grant. It provides support and benefits to eligible beneficiaries in line with the goal of To provide financial support to eligible students for pursuing higher studies.,"OBC, Student, Scholarship"
Central,National,Ministry of Social Justice,Higher and Technical Education Department,Individual,To provide financial support to eligible students for pursuing higher studies,National Girl Pre-Matric Scholarship,This scheme aims to To provide financial support to eligible students for pursuing higher studies for girl by implementing the pre-matric scholarship. It provides support and benefits to eligible beneficiaries in line with the goal of To provide financial support to eligible students for pursuing higher studies.,"Girl, Student, Scholarship, Poor"
Central,National,Central Government of India,Higher and Technical Education Department,Individual,To assist students from disadvantaged backgrounds in accessing quality education,Central ST Education Grant,This scheme aims to To assist students from disadvantaged backgrounds in accessing quality education for st by implementing the education grant. It provides support and benefits to eligible beneficiaries in line with the goal of To assist students from disadvantaged backgrounds in accessing quality education.,"ST, Student, Scholarship, Poor"
Central,National,Ministry of Agriculture,Education Department,Individual,To provide financial support to eligible students for pursuing higher studies,National SC Pre-Matric Scholarship,This scheme aims to To provide financial support to eligible students for pursuing higher studies for sc by implementing the pre-matric scholarship. It provides support and benefits to eligible beneficiaries in line with the goal of To provide financial support to eligible students for pursuing higher studies.,"SC, Student, Scholarship, Rural"
State,Karnataka,State Government of Karnataka,Education Department,Individual,To encourage meritorious students to continue their education,Chief Minister Minority Research Fellowship,This scheme aims to To encourage meritorious students to continue their education for minority by implementing the research fellowship. It provides support and benefits to eligible beneficiaries in line with the goal of To encourage meritorious students to continue their education.,"Minority, Student, Scholarship"
State,Maharashtra,State Government of Maharashtra,Higher and Technical Education Department,Individual,To provide financial support to eligible students for pursuing higher studies,National ST Education Grant,This scheme aims to To provide financial support to eligible students for pursuing higher studies for st by implementing the education grant. It provides support and benefits to eligible beneficiaries in line with the goal of To provide financial support to eligible students for pursuing higher studies.,"ST, Student, Scholarship, Urban"
Central,National,Central Government of India,Education Department,Individual,To provide financial support to eligible students for pursuing higher studies,Central Economically Backward Student Excellence Award,This scheme aims to To provide financial support to eligible students for pursuing higher studies for economically backward by implementing the student excellence award. It provides support and benefits to eligible beneficiaries in line with the goal of To provide financial support to eligible students for pursuing higher studies.,"Economically Backward, Student, Scholarship, Rural"
Central,National,Ministry of Rural Development,Education Department,Individual,To assist students from disadvantaged backgrounds in accessing quality education,Pradhan Mantri Girl Education Grant,This scheme aims to To assist students from disadvantaged backgrounds in accessing quality education for girl by implementing the education grant. It provides support and benefits to eligible beneficiaries in line with the goal of To assist students from disadvantaged backgrounds in accessing quality education.,"Girl, Student, Scholarship"
Central,National,Ministry of Agriculture,Higher and Technical Education Department,Individual,To encourage meritorious students to continue their education,Central Disabled Education Grant,This scheme aims to To encourage meritorious students to continue their education for disabled by implementing the education grant. It provides support and benefits to eligible beneficiaries in line with the goal of To encourage meritorious students to continue their education.,"Disabled, Student, Scholarship"
State,Karnataka,State Government of Karnataka,Education Department,Individual,To encourage meritorious students to continue their education,Central Minority Post-Matric Scholarship,This scheme aims to To encourage meritorious students to continue their education for minority by implementing the post-matric scholarship. It provides support and benefits to eligible beneficiaries in line with the goal of To encourage meritorious students to continue their education.,"Minority, Student, Scholarship"
Central,National,Ministry of Rural Development,Education Department,Individual,To provide financial support to eligible students for pursuing higher studies,State Economically Backward Pre-Matric Scholarship,This scheme aims to To provide financial support to eligible students for pursuing higher studies for economically backward by implementing the pre-matric scholarship. It provides support and benefits to eligible beneficiaries in line with the goal of To provide financial support to eligible students for pursuing higher studies.,"Economically Backward, Student, Scholarship"
State,Bihar,State Government of Bihar,Education Department,Individual,To encourage meritorious students to continue their education,State OBC Post-Matric Scholarship,This scheme aims to To encourage meritorious students to continue their education for obc by implementing the post-matric scholarship. It provides support and benefits to eligible beneficiaries in line with the goal of To encourage meritorious students to continue their education.,"OBC, Student, Scholarship"
Central,National,Ministry of Social Justice,Education Department,Individual,To encourage meritorious students to continue their education,Chief Minister Minority Higher Education Fellowship,This scheme aims to To encourage meritorious students to continue their education for minority by implementing the higher education fellowship. It provides support and benefits to eligible beneficiaries in line with the goal of To encourage meritorious students to continue their education.,"Minority, Student, Scholarship"
District,"Nashik, Maharashtra",District Council,Higher and Technical Education Department,Individual,To encourage meritorious students to continue their education,National Economically Backward Student Excellence Award,This scheme aims to To encourage meritorious students to continue their education for economically backward by implementing the student excellence award. It provides support and benefits to eligible beneficiaries in line with the goal of To encourage meritorious students to continue their education.,"Economically Backward, Student, Scholarship, Rural, Poor"
State,Tamil Nadu,State Government of Tamil Nadu,Higher and Technical Education Department,Individual,To assist students from disadvantaged backgrounds in accessing quality education,State Disabled Merit Scholarship (2),This scheme aims to To assist students from disadvantaged backgrounds in accessing quality education for disabled by implementing the merit scholarship. It provides support and benefits to eligible beneficiaries in line with the goal of To assist students from disadvantaged backgrounds in accessing quality education.,"Disabled, Student, Scholarship, Urban"
State,Maharashtra,State Government of Maharashtra,Education Department,Individual,To provide financial support to eligible students for pursuing higher studies,Pradhan Mantri Meritorious Post-Matric Scholarship,This scheme aims to To provide financial support to eligible students for pursuing higher studies for meritorious by implementing the post-matric scholarship. It provides support and benefits to eligible beneficiaries in line with the goal of To provide financial support to eligible students for pursuing higher studies.,"Merit, Student, Scholarship"
Taluka,"Haveli, Maharashtra",Municipal Corporation,Higher and Technical Education Department,Individual,To encourage meritorious students to continue their education,Pradhan Mantri Minority Education Grant,This scheme aims to To encourage meritorious students to continue their education for minority by implementing the education grant. It provides support and benefits to eligible beneficiaries in line with the goal of To encourage meritorious students to continue their education.,"Minority, Student, Scholarship, Rural, Poor"
State,Tamil Nadu,State Government of Tamil Nadu,Education Department,Individual,To encourage meritorious students to continue their education,National Minority Student Excellence Award,This scheme aims to To encourage meritorious students to continue their education for minority by implementing the student excellence award. It provides support and benefits to eligible beneficiaries in line with the goal of To encourage meritorious students to continue their education.,"Minority, Student, Scholarship"
District,"Ahmedabad, Gujarat",District Council,Education Department,Individual,To provide financial support to eligible students for pursuing higher studies,Pradhan Mantri ST Pre-Matric Scholarship,This scheme aims to To provide financial support to eligible students for pursuing higher studies for st by implementing the pre-matric scholarship. It provides support and benefits to eligible beneficiaries in line with the goal of To provide financial support to eligible students for pursuing higher studies.,"ST, Student, Scholarship, Rural"
Central,National,Ministry of Health and Family Welfare,Education Department,Individual,To assist students from disadvantaged backgrounds in accessing quality education,National Girl Higher Education Fellowship,This scheme aims to To assist students from disadvantaged backgrounds in accessing quality education for girl by implementing the higher education fellowship. It provides support and benefits to eligible beneficiaries in line with the goal of To assist students from disadvantaged backgrounds in accessing quality education.,"Girl, Student, Scholarship, Rural"
Central,National,Ministry of Social Justice,Education Department,Individual,To provide financial support to eligible students for pursuing higher studies,Pradhan Mantri Minority Merit Scholarship,This scheme aims to To provide financial support to eligible students for pursuing higher studies for minority by implementing the merit scholarship. It provides support and benefits to eligible beneficiaries in line with the goal of To provide financial support to eligible students for pursuing higher studies.,"Minority, Student, Scholarship"
State,Bihar,State Government of Bihar,Higher and Technical Education Department,Individual,To assist students from disadvantaged backgrounds in accessing quality education,Central OBC Higher Education Fellowship,This scheme aims to To assist students from disadvantaged backgrounds in accessing quality education for obc by implementing the higher education fellowship. It provides support and benefits to eligible beneficiaries in line with the goal of To assist students from disadvantaged backgrounds in accessing quality education.,"OBC, Student, Scholarship"
Central,National,Ministry of Social Justice,Education Department,Individual,To assist students from disadvantaged backgrounds in accessing quality education,State Disabled Student Excellence Award,This scheme aims to To assist students from disadvantaged backgrounds in accessing quality education for disabled by implementing the student excellence award. It provides support and benefits to eligible beneficiaries in line with the goal of To assist students from disadvantaged backgrounds in accessing quality education.,"Disabled, Student, Scholarship"
State,Gujarat,State Government of Gujarat,Higher and Technical Education Department,Individual,To provide financial support to eligible students for pursuing higher studies,Central SC Post-Matric Scholarship,This scheme aims to To provide financial support to eligible students for pursuing higher studies for sc by implementing the post-matric scholarship. It provides support and benefits to eligible beneficiaries in line with the goal of To provide financial support to eligible students for pursuing higher studies.,"SC, Student, Scholarship"
Taluka,"Vadodara, Gujarat",State Government of Bihar,Higher and Technical Education Department,Individual,To assist students from disadvantaged backgrounds in accessing quality education,Central Girl Post-Matric Scholarship,This scheme aims to To assist students from disadvantaged backgrounds in accessing quality education for girl by implementing the post-matric scholarship. It provides support and benefits to eligible beneficiaries in line with the goal of To assist students from disadvantaged backgrounds in accessing quality education.,"Girl, Student, Scholarship, Poor"
State,Maharashtra,State Government of Maharashtra,Education Department,Individual,To provide financial support to eligible students for pursuing higher studies,National ST Merit Scholarship,This scheme aims to To provide financial support to eligible students for pursuing higher studies for st by implementing the merit scholarship. It provides support and benefits to eligible beneficiaries in line with the goal of To provide financial support to eligible students for pursuing higher studies.,"ST, Student, Scholarship"
Central,National,Ministry of Social Justice,Education Department,Individual,To provide financial support to eligible students for pursuing higher studies,Chief Minister SC Pre-Matric Scholarship (2),This scheme aims to To provide financial support to eligible students for pursuing higher studies for sc by implementing the pre-matric scholarship. It provides support and benefits to eligible beneficiaries in line with the goal of To provide financial support to eligible students for pursuing higher studies.,"SC, Student, Scholarship"
Central,National,Central Government of India,Irrigation Department,Individual,To support farmers with financial assistance for improving crop production,Farmers Small Holder Crop Insurance Scheme,This scheme aims to To support farmers with financial assistance for improving crop production for small holder by implementing the crop insurance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To support farmers with financial assistance for improving crop production.,"Small Farmer, Agriculture, Subsidy"
Municipal,"Pune, Maharashtra",Municipal Corporation,Irrigation Department,Individual,To promote sustainable agricultural practices and increase productivity,Agricultural Tribal Farmer Horticulture Development Program,This scheme aims to To promote sustainable agricultural practices and increase productivity for tribal farmer by implementing the horticulture development program. It provides support and benefits to eligible beneficiaries in line with the goal of To promote sustainable agricultural practices and increase productivity.,"Tribal, Farmer, Agriculture, Subsidy"
Central,National,Ministry of Health and Family Welfare,Agriculture Department,Individual,To provide insurance coverage and subsidies to farmers against crop failure,Farmers Small Holder Soil Health Card Program,This scheme aims to To provide insurance coverage and subsidies to farmers against crop failure for small holder by implementing the soil health card program. It provides support and benefits to eligible beneficiaries in line with the goal of To provide insurance coverage and subsidies to farmers against crop failure.,"Small Farmer, Agriculture, Subsidy"
Private,Pan-India,State Government of Gujarat,Agriculture Department,Individual,To promote sustainable agricultural practices and increase productivity,Agricultural Marginal Farmer Horticulture Development Program,This scheme aims to To promote sustainable agricultural practices and increase productivity for marginal farmer by implementing the horticulture development program. It provides support and benefits to eligible beneficiaries in line with the goal of To promote sustainable agricultural practices and increase productivity.,"Marginal Farmer, Agriculture, Subsidy"
State,Karnataka,State Government of Karnataka,Irrigation Department,Individual,To support farmers with financial assistance for improving crop production,Farmers Tribal Farmer Crop Insurance Scheme,This scheme aims to To support farmers with financial assistance for improving crop production for tribal farmer by implementing the crop insurance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To support farmers with financial assistance for improving crop production.,"Tribal, Farmer, Agriculture, Subsidy"
State,Karnataka,State Government of Karnataka,Horticulture Department,Individual,To provide insurance coverage and subsidies to farmers against crop failure,Agricultural Women Farmer Crop Insurance Scheme,This scheme aims to To provide insurance coverage and subsidies to farmers against crop failure for women farmer by implementing the crop insurance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide insurance coverage and subsidies to farmers against crop failure.,"Women, Farmer, Agriculture, Subsidy, Rural"
Central,National,Central Government of India,Irrigation Department,Individual,To promote sustainable agricultural practices and increase productivity,Agricultural Marginal Farmer Horticulture Development Program (2),This scheme aims to To promote sustainable agricultural practices and increase productivity for marginal farmer by implementing the horticulture development program. It provides support and benefits to eligible beneficiaries in line with the goal of To promote sustainable agricultural practices and increase productivity.,"Marginal Farmer, Agriculture, Subsidy"
Central,National,Ministry of Rural Development,Irrigation Department,Individual,To support farmers with financial assistance for improving crop production,Farmers General Farmer Soil Health Card Program,This scheme aims to To support farmers with financial assistance for improving crop production for general farmer by implementing the soil health card program. It provides support and benefits to eligible beneficiaries in line with the goal of To support farmers with financial assistance for improving crop production.,"Farmer, Agriculture, Subsidy, Rural, Poor"
Central,National,Ministry of Health and Family Welfare,Horticulture Department,Individual,To support farmers with financial assistance for improving crop production,Farmers Small Holder Irrigation Assistance Scheme,This scheme aims to To support farmers with financial assistance for improving crop production for small holder by implementing the irrigation assistance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To support farmers with financial assistance for improving crop production.,"Small Farmer, Agriculture, Subsidy, Poor"
Central,National,Ministry of Agriculture,Agriculture Department,Individual,To provide insurance coverage and subsidies to farmers against crop failure,Agricultural Tribal Farmer Micro-Irrigation Scheme,This scheme aims to To provide insurance coverage and subsidies to farmers against crop failure for tribal farmer by implementing the micro-irrigation scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide insurance coverage and subsidies to farmers against crop failure.,"Tribal, Farmer, Agriculture, Subsidy"
Central,National,Ministry of Social Justice,Irrigation Department,Individual,To support farmers with financial assistance for improving crop production,Farmers Tribal Farmer Seed Distribution Scheme,This scheme aims to To support farmers with financial assistance for improving crop production for tribal farmer by implementing the seed distribution scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To support farmers with financial assistance for improving crop production.,"Tribal, Farmer, Agriculture, Subsidy"
District,"Kolkata, West Bengal",District Council,Horticulture Department,Individual,To provide insurance coverage and subsidies to farmers against crop failure,Agricultural Tribal Farmer Irrigation Assistance Scheme,This scheme aims to To provide insurance coverage and subsidies to farmers against crop failure for tribal farmer by implementing the irrigation assistance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide insurance coverage and subsidies to farmers against crop failure.,"Tribal, Farmer, Agriculture, Subsidy"
Municipal,"Surat, Gujarat",Municipal Corporation,Irrigation Department,Individual,To provide insurance coverage and subsidies to farmers against crop failure,Agricultural General Farmer Irrigation Assistance Scheme,This scheme aims to To provide insurance coverage and subsidies to farmers against crop failure for general farmer by implementing the irrigation assistance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide insurance coverage and subsidies to farmers against crop failure.,"Farmer, Agriculture, Subsidy"
Central,National,Ministry of Agriculture,Irrigation Department,Individual,To provide insurance coverage and subsidies to farmers against crop failure,Agricultural General Farmer Seed Distribution Scheme,This scheme aims to To provide insurance coverage and subsidies to farmers against crop failure for general farmer by implementing the seed distribution scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide insurance coverage and subsidies to farmers against crop failure.,"Farmer, Agriculture, Subsidy"
Central,National,Ministry of Rural Development,Horticulture Department,Individual,To support farmers with financial assistance for improving crop production,Farmers Women Farmer Micro-Irrigation Scheme,This scheme aims to To support farmers with financial assistance for improving crop production for women farmer by implementing the micro-irrigation scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To support farmers with financial assistance for improving crop production.,"Women, Farmer, Agriculture, Subsidy, Poor"
Central,National,Central Government of India,Horticulture Department,Individual,To promote sustainable agricultural practices and increase productivity,Agricultural General Farmer Soil Health Card Program,This scheme aims to To promote sustainable agricultural practices and increase productivity for general farmer by implementing the soil health card program. It provides support and benefits to eligible beneficiaries in line with the goal of To promote sustainable agricultural practices and increase productivity.,"Farmer, Agriculture, Subsidy, Rural"
Taluka,"Patna, Bihar",Ministry of Education,Horticulture Department,Individual,To support farmers with financial assistance for improving crop production,Farmers Tribal Farmer Irrigation Assistance Scheme,This scheme aims to To support farmers with financial assistance for improving crop production for tribal farmer by implementing the irrigation assistance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To support farmers with financial assistance for improving crop production.,"Tribal, Farmer, Agriculture, Subsidy"
State,Gujarat,State Government of Gujarat,Agriculture Department,Individual,To support farmers with financial assistance for improving crop production,Farmers General Farmer Irrigation Assistance Scheme,This scheme aims to To support farmers with financial assistance for improving crop production for general farmer by implementing the irrigation assistance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To support farmers with financial assistance for improving crop production.,"Farmer, Agriculture, Subsidy, Poor"
Taluka,"Jaipur, Rajasthan",Central Government of India,Agriculture Department,Individual,To provide insurance coverage and subsidies to farmers against crop failure,Agricultural General Farmer Crop Insurance Scheme,This scheme aims to To provide insurance coverage and subsidies to farmers against crop failure for general farmer by implementing the crop insurance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide insurance coverage and subsidies to farmers against crop failure.,"Farmer, Agriculture, Subsidy, Poor"
State,Uttar Pradesh,State Government of Uttar Pradesh,Agriculture Department,Individual,To support farmers with financial assistance for improving crop production,Agricultural General Farmer Horticulture Development Program,This scheme aims to To support farmers with financial assistance for improving crop production for general farmer by implementing the horticulture development program. It provides support and benefits to eligible beneficiaries in line with the goal of To support farmers with financial assistance for improving crop production.,"Farmer, Agriculture, Subsidy, Rural"
State,Karnataka,State Government of Karnataka,Agriculture Department,Individual,To support farmers with financial assistance for improving crop production,Farmers Tribal Farmer Irrigation Assistance Scheme (2),This scheme aims to To support farmers with financial assistance for improving crop production for tribal farmer by implementing the irrigation assistance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To support farmers with financial assistance for improving crop production.,"Tribal, Farmer, Agriculture, Subsidy"
Municipal,"Ahmedabad, Gujarat",Municipal Corporation,Irrigation Department,Individual,To promote sustainable agricultural practices and increase productivity,Farmers Tribal Farmer Crop Insurance Scheme (2),This scheme aims to To promote sustainable agricultural practices and increase productivity for tribal farmer by implementing the crop insurance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To promote sustainable agricultural practices and increase productivity.,"Tribal, Farmer, Agriculture, Subsidy"
